path	line	operation	rule	symbol	justification
r/openwrangler_runtime/frame_contract.R	5592	line:5592	unqualified-call	:=	Data.table replacement syntax is provided by the required data.table namespace.
r/openwrangler_runtime/frame_contract.R	5592	line:5592	undefined-symbol	.GRP	Data.table supplies this group index inside j evaluation.
r/openwrangler_runtime/interactive_agent.R	311	L311:C7-L311:C58	global-assignment	assign:.GlobalEnv	The verified runtime owner publishes its private runtime binding in the exact active R global environment.
r/openwrangler_runtime/interactive_agent.R	368	L368:C7-L368:C58	global-assignment	assign:.GlobalEnv	The verified terminal owner publishes its private terminal claim binding in the exact active R global environment.
r/openwrangler_runtime/interactive_agent.R	601	L601:C5-L601:C64	global-assignment	assign:.GlobalEnv	The verified transport owner publishes its private command binding in the exact active R global environment.
r/openwrangler_runtime/kernel_agent.R	6765	line:6765	undefined-symbol	.ow_integer64_is_na	The generated runtime prelude installs this bounded integer64 helper.
r/openwrangler_runtime/kernel_agent.R	6765	line:6765	unqualified-call	.ow_storage_length	The generated runtime prelude installs this bounded storage helper.
r/openwrangler_runtime/kernel_agent.R	6770	line:6770	undefined-symbol	.ow_integer64_as_character	The generated runtime prelude installs this integer64 conversion helper.
r/openwrangler_runtime/kernel_agent.R	6770	line:6770	unqualified-call	.ow_storage_length	The generated runtime prelude installs this bounded storage helper.
r/openwrangler_runtime/kernel_agent.R	6881	line:6881	unqualified-call	.ow_storage_length	The generated runtime prelude installs this bounded storage helper.
r/openwrangler_runtime/kernel_agent.R	7030	line:7030	unqualified-call	.ow_storage_length	The generated runtime prelude installs this bounded storage helper.
r/openwrangler_runtime/kernel_agent.R	7049	line:7049	undefined-symbol	.ow_data_table_alloccol	The generated runtime prelude installs this data.table allocation helper.
r/openwrangler_runtime/kernel_agent.R	7056	line:7056	unqualified-call	.ow_storage_length	The generated runtime prelude installs this bounded storage helper.
